Identification number,Section,Subsection,Head office country,Head office city,Level of interest,Fields of interest,Estimate of costs (absolute amount),Estimate of costs (as a range)
414632716849-24,I - Professional consultancies/law firms/self-employed consultants,Self-employed consultants,Norway,Bergen,"European		national","Economic and Financial Affairs		Budget		Trade		Competition		Consumer Affairs		Customs		Education		Environment		Taxation		Youth		Internal Market		Research and Technology		External Relations		Public Health		Food Safety		Climate Action		Financial Stability		Financial Services and Capital Markets Union",0,
635355816474-07,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Spain,Madrid,national,"General and Institutional Affairs		Economic and Financial Affairs		Budget		Trade		Competition		Development		Education		Employment and Social Affairs		Enterprise		Environment		Taxation		Youth		Internal Market		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Information Society		Climate Action",,50000-99999
933042916525-37,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Poland,Warszawa,European,"Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Culture		Development		Employment and Social Affairs		Enterprise		Environment		Regional Policy		Food Safety",1655881,
765630716859-41,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Belgium,Bruselas,global,"Audiovisual and Media		Culture		Development		Customs		Education		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Justice and Fundamental Rights		Research and Technology		Trans-European Networks		Public Health		Information Society		Transport		Communication",,0-9999
778717116759-86,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,"European		global","External Relations		Trans-European Networks		Transport		Home Affairs",,50000-99999
952210816760-90,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Bulgaria,_____,national,Environment,,0-9999
85103504511-82,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,global,"Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Trade		Competition		Development		Energy		Environment		Taxation		Youth		Internal Market		External Relations		Climate Action",197041,
776043916485-46,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Italy,BERGAMO,"European		national","General and Institutional Affairs		Agriculture and Rural Development		Consumer Affairs		Culture		Development		Education		Enlargement		Environment		Food Safety",30000,
386945216502-25,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Germany,Berlin,"European		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Competition		Energy		Enterprise		Regional Policy		Financial Stability		Financial Services and Capital Markets Union",,10000-24999
213754916822-68,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",France,LYON,global,"Humanitarian Aid		Budget		Development",,200000-299999
997879216637-27,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Bulgaria,_____,national,"General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Budget		Trade		Competition		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		Regional Policy		External Relations		Trans-European Networks		Public Health		Information Society		Transport		Climate Action",50000,
705206416750-63,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Netherlands,Den Haag,"European		national","Economic and Financial Affairs		Energy		Environment		Research and Technology",874954,
156725316884-79,"VI - Organisations representing local		regional and municipal authorities		other public or mixed entities		etc.",Transnational associations and networks of public regional or other sub-national authorities,United Arab Emirates,Dubai,global,"Humanitarian Aid		Culture		Justice and Fundamental Rights		External Relations",3000,
235118516475-83,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,EVERE - BRUSSELS,European,"Humanitarian Aid		Audiovisual and Media		Trade		Development		Youth		Justice and Fundamental Rights		External Relations		Food Safety		Communication",0,
317643716520-42,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",United States,Haslett,"European		global","General and Institutional Affairs		Trade		Consumer Affairs		Environment		Taxation		Internal Market		Research and Technology",,25000-49999
469705916690-22,II - In-house lobbyists and trade/business/professional associations,Companies & groups,United Kingdom,London,global,Economic and Financial Affairs,,0-9999
987384116687-41,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Poland,Pozna_,national,"Economic and Financial Affairs		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Development		Education		Enterprise		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		Trans-European Networks		Information Society		Communication",,10000-24999
56105009846-47,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,Spain,NAVAL MORAL - CACERES,"European		national","General and Institutional Affairs		Competition		Education		Employment and Social Affairs		Energy		Enterprise		Environment		Justice and Fundamental Rights		Research and Technology",4000,
5691104733-95,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,BRUSSELS,European,"Trade		Competition		Customs		Energy		Enterprise		Environment		Internal Market		Research and Technology		Climate Action",,100000-199999
11882605348-33,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,Netherlands,Delft,"European		global		national		regional/local","Agriculture and Rural Development		Competition		Development		Energy		Environment		Fisheries and Aquaculture		Regional Policy		Research and Technology		Trans-European Networks		Information Society		Transport		Climate Action",,0-9999
741186216712-07,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Ireland,Cork,global,"Economic and Financial Affairs		Budget		Trade		Competition		Customs		Employment and Social Affairs		Enterprise		Taxation		Internal Market		Foreign and Security Policy and Defence		Research and Technology		Information Society",,300000-399999
516422616734-26,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,France,Paris,"European		national",Competition,,0-9999
325134616689-09,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Finland,Helsinki,global,"Development		Education		Employment and Social Affairs		Youth		Information Society		Communication",10000,
205026416376-93,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Bulgaria,Sofia,"European		global		national		regional/local","Economic and Financial Affairs		Development		Enlargement		Environment		Internal Market		External Relations		Trans-European Networks		Information Society		Transport		Communication",,10000-24999
60974102057-03,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,France,Paris,"European		global		national","General and Institutional Affairs		Economic and Financial Affairs		Budget		Trade		Competition		Energy		Enterprise		Environment		Taxation		Internal Market		Research and Technology		Trans-European Networks		Information Society		Climate Action",,50000-99999
03013154889-05,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Belgium,Bruxelles,"European		global		national","General and Institutional Affairs		Economic and Financial Affairs		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Enlargement		Energy		Enterprise		Environment		Taxation		Justice and Fundamental Rights		Internal Market		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Information Society		Transport		Home Affairs",,800000-899999
850277716452-77,"IV - Think tanks		research and academic institutions",Academic institutions,United Kingdom,Derry City,global,"Economic and Financial Affairs		Humanitarian Aid		Development		Education		Employment and Social Affairs		Enterprise		Youth		Regional Policy		Research and Technology",0,
252448916510-71,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,Italy,Brescia,regional/local,"Agriculture and Rural Development		Environment",,600000-699999
32591134448-30,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,European,"Economic and Financial Affairs		Agriculture and Rural Development		Trade		Competition		Development		Customs		Energy		Enterprise		Environment		Taxation		Internal Market		Research and Technology		Public Health		Transport		Climate Action",,300000-399999
04308792739-83,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Germany,München,"European		global		national		regional/local","Agriculture and Rural Development		Humanitarian Aid		Development		Justice and Fundamental Rights		Foreign and Security Policy and Defence		Trans-European Networks		Public Health",,0-9999
566948015021-66,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Italy,Taranto,global,"Agriculture and Rural Development		Development		Energy		Environment		Regional Policy		Climate Action",,0-9999
04077716126-17,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,"European		global","General and Institutional Affairs		Budget		Competition		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Justice and Fundamental Rights		Internal Market		Research and Technology		Trans-European Networks		Public Health		Food Safety		Information Society		Transport		Climate Action		Home Affairs",,100000-199999
823142716770-58,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,United Kingdom,London,global,"General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Sport		Transport		Climate Action		Home Affairs		Communication",,>10000000
550855911144-54,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,Belgium,Brussels,European,"Economic and Financial Affairs		Consumer Affairs		Employment and Social Affairs		Justice and Fundamental Rights		Internal Market		Information Society		Financial Stability		Financial Services and Capital Markets Union",,0-9999
329998016781-12,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,Germany,Grünwald,"European		national","Audiovisual and Media		Competition		Culture		Education		Employment and Social Affairs		Justice and Fundamental Rights		Internal Market		Trans-European Networks		Information Society		Communication",,0-9999
32533878424-70,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,global,"Culture		Development		Education		Employment and Social Affairs		Youth		Trans-European Networks		Sport",,0-9999
948242318003-65,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Bahamas,Freeport,global,"Audiovisual and Media		Education		Environment		Youth		Fisheries and Aquaculture		Food Safety		Climate Action		Communication",0,
282178211569-81,"VI - Organisations representing local		regional and municipal authorities		other public or mixed entities		etc.","Other public or mixed entities		created by law whose purpose is to act in the public interest",Germany,"Gülzow-Prüzen		OT Gülzow",national,"Agriculture and Rural Development		Competition		Energy		Enterprise		Environment		Research and Technology		Transport		Climate Action",,0-9999
056205215657-75,"IV - Think tanks		research and academic institutions",Academic institutions,United Kingdom,London,"European		global","Agriculture and Rural Development		Humanitarian Aid		Budget		Trade		Development		Enterprise		Environment		Research and Technology		Climate Action",,0-9999
116130516828-32,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,Spain,Madrid,"European		global		national","General and Institutional Affairs		Humanitarian Aid		Competition		Development		Education		Employment and Social Affairs		Youth		Justice and Fundamental Rights		Internal Market		Public Health",,0-9999
963594416769-59,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Belgium,Brussels,global,"Agriculture and Rural Development		Trade		Competition		Consumer Affairs		Enlargement		Enterprise		Environment		Taxation		Internal Market		External Relations		Public Health		Food Safety",,0-9999
113054111397-33,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,European,"Economic and Financial Affairs		Budget		Trade		Competition		Culture		Education		Employment and Social Affairs		Energy		Enterprise		Environment		Youth		Internal Market		Regional Policy		Research and Technology		Trans-European Networks		Information Society		Transport		Climate Action		Communication		Financial Stability		Financial Services and Capital Markets Union",,50000-99999
118084810394-25,"VI - Organisations representing local		regional and municipal authorities		other public or mixed entities		etc.","Other public or mixed entities		created by law whose purpose is to act in the public interest",France,Maisons-Alfort,"European		global		national","General and Institutional Affairs		Agriculture and Rural Development		Consumer Affairs		Environment		Fisheries and Aquaculture		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society",,0-9999
336302316794-62,II - In-house lobbyists and trade/business/professional associations,Companies & groups,United Kingdom,Wokingham,regional/local,"Environment		Research and Technology		Transport",,0-9999
202197712893-76,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,Netherlands,Utrecht,"European		national","Audiovisual and Media		Culture",,0-9999
14356213941-17,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,France,Verneuil en Halatte,"European		national","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Enlargement		Energy		Enterprise		Environment		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		Trans-European Networks		Public Health		Food Safety		Information Society		Transport		Climate Action",,0-9999
56188303384-93,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,United Kingdom,London,"European		national","Economic and Financial Affairs		Agriculture and Rural Development		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Customs		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Justice and Fundamental Rights		Internal Market		Research and Technology		Trans-European Networks		Public Health		Food Safety		Information Society		Sport		Transport		Climate Action		Home Affairs",316875,
88868218399-43,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Italy,Castel Maggiore,global,"Trade		Consumer Affairs		Development		Customs		Education		Enterprise		Environment		Fisheries and Aquaculture		Research and Technology		Public Health		Food Safety		Communication",0,
013076816891-46,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Spain,MADRID,national,Information Society,,0-9999
89088409596-79,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Bruxelles,global,"Economic and Financial Affairs		Agriculture and Rural Development		Audiovisual and Media		Trade		Energy		Enterprise		Environment		Research and Technology		External Relations		Food Safety		Information Society		Climate Action		Communication",,0-9999
774800715050-93,"IV - Think tanks		research and academic institutions",Academic institutions,Portugal,Caparica,global,"Agriculture and Rural Development		Audiovisual and Media		Development		Education		Energy		Environment		Fisheries and Aquaculture		Research and Technology		Public Health		Food Safety		Information Society		Transport",,0-9999
897964616809-28,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,European,"Competition		Energy		Enterprise		Environment		Internal Market		Fisheries and Aquaculture		Food Safety		Climate Action",,100000-199999
66742324074-50,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Germany,Berlin,"European		national","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Competition		Consumer Affairs		Development		Education		Enterprise		Environment		Taxation		Justice and Fundamental Rights		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Home Affairs",,0-9999
05503341949-54,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Germany,Muenchen,"European		global		national","General and Institutional Affairs		Economic and Financial Affairs		Trade		Competition		Consumer Affairs		Employment and Social Affairs		Energy		Taxation		Justice and Fundamental Rights		Internal Market		Public Health		Transport		Climate Action		Home Affairs		Financial Stability		Financial Services and Capital Markets Union",,1500000-1749000
63974235880-21,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,Belgium,Brussels,"European		regional/local","Economic and Financial Affairs		Trade		Competition		Education		Employment and Social Affairs		Energy		Enterprise		Environment		Internal Market		Research and Technology		Trans-European Networks		Transport		Climate Action",,0-9999
125575116745-80,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,Romania,Bucharest,"European		national		regional/local","Economic and Financial Affairs		Agriculture and Rural Development		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Youth		Justice and Fundamental Rights		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Transport		Climate Action		Home Affairs		Communication",,900000-999999
27286559068-61,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,United Kingdom,London,"European		global		national","Economic and Financial Affairs		Audiovisual and Media		Competition		Consumer Affairs		Culture		Customs		Energy		Enterprise		Taxation		Internal Market		Trans-European Networks		Public Health		Information Society		Sport		Climate Action		Home Affairs		Communication",,0-9999
109837415047-11,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Portugal,LISBOA,"European		global		national","Humanitarian Aid		Development		Enterprise		Foreign and Security Policy and Defence",,10000-24999
475196515647-97,I - Professional consultancies/law firms/self-employed consultants,Self-employed consultants,Spain,Madrid,European,"General and Institutional Affairs		Economic and Financial Affairs		Audiovisual and Media		Education		Energy		Enterprise		Youth		Internal Market		External Relations		Trans-European Networks		Information Society",,10000-24999
759948816837-53,II - In-house lobbyists and trade/business/professional associations,Other organisations,United Kingdom,STOCKTON-ON-TEES,national,"Economic and Financial Affairs		Education		Taxation		Information Society",9945,
9160958318-89,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,France,PARIS,European,"Economic and Financial Affairs		Taxation		Internal Market",,100000-199999
807908716856-31,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Czech Republic,Prague,global,"Public Health		Communication",,0-9999
47690759500-37,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Spain,MADRID,"European		global		national		regional/local","Agriculture and Rural Development		Budget		Trade		Competition		Consumer Affairs		Customs		Energy		Environment		Taxation		Internal Market		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Public Health		Food Safety		Information Society		Climate Action",200000,
27471236588-39,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,Belgium,Bruxelles,European,"Audiovisual and Media		Competition		Culture		Enlargement		Employment and Social Affairs		Justice and Fundamental Rights		Internal Market		External Relations		Information Society		Home Affairs",,300000-399999
139785716776-18,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Germany,Unterföhring,European,"Economic and Financial Affairs		Audiovisual and Media		Trade		Competition		Consumer Affairs		Culture		Enterprise		Justice and Fundamental Rights		Internal Market		Research and Technology		Information Society		Communication",,100000-199999
830882416841-19,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",United Kingdom,London,global,"Economic and Financial Affairs		Budget		Internal Market",,400000-499999
73952083693-15,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Belgium,Brussels,"European		global		national","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Sport		Transport		Climate Action		Home Affairs		Communication",,500000-599999
25805148045-87,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,European,"Competition		Energy		Environment		Internal Market		Research and Technology		External Relations		Climate Action",,50000-99999
660566316824-12,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,Italy,Pisa,European,"Consumer Affairs		Education		Environment		Research and Technology		Trans-European Networks		Information Society		Communication",55000,
18165266149-22,"VI - Organisations representing local		regional and municipal authorities		other public or mixed entities		etc.",Transnational associations and networks of public regional or other sub-national authorities,Belgium,Brussels,regional/local,"Energy		Environment		Regional Policy		Transport		Climate Action",,200000-299999
53428222149-96,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",France,Paris,"European		national","Employment and Social Affairs		Taxation		Justice and Fundamental Rights		Trans-European Networks		Home Affairs		Communication",,0-9999
635074316883-54,II - In-house lobbyists and trade/business/professional associations,Other organisations,United Kingdom,London,"national		regional/local","Consumer Affairs		Employment and Social Affairs		Energy		Justice and Fundamental Rights		Internal Market		Trans-European Networks		Information Society		Climate Action",,100000-199999
42699798177-53,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,European,"Culture		Education		Justice and Fundamental Rights		External Relations",,0-9999
604742116836-08,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Netherlands,Eindhoven,European,"General and Institutional Affairs		Economic and Financial Affairs		Trade		Competition		Development		Education		Employment and Social Affairs		Enterprise		Environment		Taxation		Internal Market		Research and Technology		Transport		Climate Action",,50000-99999
118236613508-31,V - Organisations representing churches and religious communities,Organisations representing churches and religious communities,Germany,Königstein,global,"Humanitarian Aid		Culture		Development		Enlargement		Youth		Justice and Fundamental Rights		Foreign and Security Policy and Defence		External Relations		Home Affairs",,25000-49999
613604816740-43,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,Czech Republic,Praha 1,national,"Economic and Financial Affairs		Consumer Affairs		Taxation		Internal Market		Financial Stability		Financial Services and Capital Markets Union",,50000-99999
242867516855-06,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,United States,"Washington		DC",global,"Agriculture and Rural Development		Development		Environment		Food Safety		Climate Action",5674,
880605516866-04,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Switzerland,Schaffhausen,global,"General and Institutional Affairs		Economic and Financial Affairs		Trade		Competition		Customs		Education		Enlargement		Energy		Enterprise		Environment		Taxation		Internal Market		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Information Society		Transport		Climate Action",65000,
270408511443-95,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,France,paris,national,"General and Institutional Affairs		Economic and Financial Affairs		Competition		Employment and Social Affairs		Energy		Enterprise		Taxation		Internal Market		Research and Technology		Financial Stability		Financial Services and Capital Markets Union",,50000-99999
151554816791-61,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Germany,München,European,"Consumer Affairs		Environment		Research and Technology		Food Safety",,25000-49999
706136913777-83,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Austria,Tamsweg,European,"Agriculture and Rural Development		Culture		Environment		Research and Technology		Climate Action",,0-9999
493334616801-49,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,Germany,München,"European		national","Audiovisual and Media		Culture		Education		Employment and Social Affairs		Justice and Fundamental Rights		Information Society		Communication",,25000-49999
073439515741-83,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,France,POITIERS,"European		national		regional/local","Employment and Social Affairs		Taxation",,0-9999
91596579174-61,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,United Kingdom,London,national,Taxation,,100000-199999
45766611524-47,II - In-house lobbyists and trade/business/professional associations,Companies & groups,United Kingdom,London,"European		national","Economic and Financial Affairs		Enterprise		Taxation		Internal Market",,0-9999
114241717029-01,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Spain,Paterna,global,"Agriculture and Rural Development		Fisheries and Aquaculture		Food Safety		Communication",4618948,
551684916877-74,II - In-house lobbyists and trade/business/professional associations,Companies & groups,United Kingdom,London,"European		global		national","General and Institutional Affairs		Economic and Financial Affairs		Budget		Trade		Competition		Consumer Affairs		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Justice and Fundamental Rights		Internal Market		Regional Policy		External Relations		Information Society		Transport		Home Affairs		Financial Stability		Financial Services and Capital Markets Union",,700000-799999
419396713408-95,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,Italy,Nola,global,"Humanitarian Aid		Budget		Trade		Culture		Education		Employment and Social Affairs		Energy		Enterprise		Environment		Youth		Justice and Fundamental Rights		Foreign and Security Policy and Defence		External Relations		Public Health		Transport		Climate Action		Communication",,0-9999
147656111703-83,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,European,"Humanitarian Aid		Audiovisual and Media		Budget		Competition		Consumer Affairs		Culture		Development		Education		Enlargement		Enterprise		Youth		Internal Market		Fisheries and Aquaculture		Regional Policy		Research and Technology		External Relations		Information Society		Sport		Home Affairs		Communication",,0-9999
310521319464-66,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,Italy,ROMA,European,"Economic and Financial Affairs		Agriculture and Rural Development		Trade		Competition		Consumer Affairs		Development		Customs		Environment		Internal Market		Regional Policy		Public Health		Food Safety		Transport",,0-9999
30454837455-91,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Spain,Madrid,national,"Trade		Energy		Enterprise		Environment		Climate Action",,0-9999
43458045202-06,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Malta,Valletta,national,"Culture		Environment		Fisheries and Aquaculture		Climate Action",,0-9999
24967486965-09,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,European,"Economic and Financial Affairs		Consumer Affairs		Energy		Environment		Taxation		Internal Market		Information Society		Financial Stability		Financial Services and Capital Markets Union",,200000-299999
652634714887-86,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Germany,Düsseldorf,national,"Energy		Environment		Research and Technology		Climate Action",,10000-24999
381796719468-68,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,United Kingdom,Cambridge,"European		global		regional/local","Energy		Environment		Trans-European Networks		Climate Action",,600000-699999
259128616764-41,I - Professional consultancies/law firms/self-employed consultants,Law firms,Sweden,Onsala,"European		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Sport		Transport		Climate Action		Home Affairs		Communication",,0-9999
449942813570-96,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,Belgium,Bruselas,"European		national","General and Institutional Affairs		Economic and Financial Affairs		Humanitarian Aid		Trade		Competition		Consumer Affairs		Culture		Development		Enlargement		Employment and Social Affairs		Enterprise		Environment		Taxation		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		Research and Technology		External Relations		Public Health		Information Society		Climate Action		Home Affairs		Communication		Financial Stability		Financial Services and Capital Markets Union",,100000-199999
638084716775-91,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Spain,GIJON,"European		national","Environment		Research and Technology		Transport",8000,
47806848200-34,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Netherlands,Amsterdam,European,"Employment and Social Affairs		Energy		Environment		Taxation		Climate Action",,200000-299999
673117516739-18,"VI - Organisations representing local		regional and municipal authorities		other public or mixed entities		etc.","Other public or mixed entities		created by law whose purpose is to act in the public interest",Belgium,Brussels,global,"General and Institutional Affairs		Economic and Financial Affairs		Trade		Competition		Development		Energy		Enterprise		Environment		Internal Market		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health",1236793,
491531216907-33,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Netherlands,Hoog Keppel,"European		national		regional/local","Agriculture and Rural Development		Environment		Fisheries and Aquaculture		Climate Action",12000,
553490316852-08,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Sweden,Karlskoga,national,"Education		Enterprise		Environment		Research and Technology",100000,
553148316829-68,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Czech Republic,Praha 4,global,"Development		Education		Youth		Foreign and Security Policy and Defence		Regional Policy		Communication",225689,
94402711517-87,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",United Kingdom,Brighton,European,"Education		Employment and Social Affairs		Youth		Justice and Fundamental Rights		Trans-European Networks		Public Health		Information Society",,0-9999
848077116912-21,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,Netherlands,Woerden,national,"General and Institutional Affairs		Economic and Financial Affairs		Budget		Trade		Competition		Enlargement		Employment and Social Affairs		Enterprise		Taxation		Justice and Fundamental Rights		Internal Market		External Relations",250000,
897535614669-66,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Finland,Espoo,"European		global		national","General and Institutional Affairs		Trade		Competition		Energy		Enterprise		Environment		Taxation		Internal Market		Research and Technology		External Relations		Information Society		Transport		Climate Action",,300000-399999
85083981189-35,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,European,"General and Institutional Affairs		Economic and Financial Affairs		Humanitarian Aid		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Development		Education		Employment and Social Affairs		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Regional Policy		Trans-European Networks		Public Health		Information Society		Home Affairs		Communication",,300000-399999
